Dato;Wind;Temp;Sun;MWh;Flow
01/01/2020;5.21;4.29;40.00;373686.00;11049.86
02/01/2020;6.13;4.42;0.00;388693.00;11408.08
03/01/2020;5.50;5.29;31.00;369654.00;10790.46
04/01/2020;6.38;3.29;240.00;383225.00;11260.85
05/01/2020;3.42;3.79;5.00;396924.00;11696.14
06/01/2020;4.67;5.83;0.00;368927.00;10838.81
07/01/2020;5.54;5.83;70.00;365760.00;10678.15
08/01/2020;5.92;6.50;46.00;353054.00;10340.40
09/01/2020;3.83;5.21;0.00;366814.00;10663.38
10/01/2020;3.42;4.04;17.00;369348.00;10740.52
11/01/2020;6.83;4.50;0.00;393587.00;11384.60
12/01/2020;4.25;6.38;0.00;342459.00;10056.95
13/01/2020;3.92;4.25;74.00;380597.00;11084.02
14/01/2020;7.67;6.96;60.00;357564.00;10391.62
15/01/2020;7.08;7.08;0.00;344338.00;10149.67
16/01/2020;5.17;5.75;136.00;367589.00;10828.92
17/01/2020;3.71;5.88;122.00;359675.00;10549.62
18/01/2020;5.04;4.29;50.00;360757.00;10525.77
19/01/2020;3.63;3.17;359.00;377291.00;11057.47
20/01/2020;4.50;5.29;40.00;382960.00;11190.07
21/01/2020;6.08;5.71;0.00;366783.00;10676.54
22/01/2020;3.79;4.21;311.00;366783.00;10651.23
23/01/2020;4.17;5.21;0.00;366514.00;10714.74
24/01/2020;4.38;5.75;2.00;340646.00;10393.56
25/01/2020;3.38;5.29;6.00;340646.00;10143.44
26/01/2020;4.04;3.92;1.00;361220.00;10716.83
27/01/2020;3.79;5.38;10.00;358323.00;10647.42
28/01/2020;4.38;4.17;6.00;357249.00;10558.61
29/01/2020;4.67;4.13;189.00;368482.00;10996.21
30/01/2020;6.75;6.38;0.00;357692.00;10656.03
31/01/2020;6.46;7.13;1.00;344571.00;10303.25
01/02/2020;8.17;7.25;18.00;321265.00;9686.59
02/02/2020;3.88;3.21;77.00;360596.00;10880.77
03/02/2020;3.71;4.29;26.00;370355.00;11057.62
04/02/2020;4.29;2.46;238.00;379796.00;11419.48
05/02/2020;3.75;2.21;270.00;414735.00;12568.61
06/02/2020;5.33;5.88;15.00;372366.00;11141.30
07/02/2020;2.46;4.17;0.00;362260.00;10891.30
08/02/2020;3.79;3.17;55.00;373840.00;10325.02
09/02/2020;10.38;6.33;0.00;361231.00;9915.54
10/02/2020;8.42;4.58;64.00;368858.00;10104.99
11/02/2020;7.33;3.21;80.00;385838.00;10699.18
12/02/2020;7.42;3.17;42.00;408866.00;11372.86
13/02/2020;3.42;2.54;128.00;396734.00;10911.92
14/02/2020;2.63;2.88;67.00;394207.00;10834.24
15/02/2020;6.50;6.42;0.00;361897.00;9993.87
16/02/2020;9.67;7.83;0.00;330720.00;9195.07
17/02/2020;9.58;6.04;35.00;388436.00;10851.93
18/02/2020;6.88;4.75;129.00;383656.00;10638.85
19/02/2020;4.42;3.96;209.00;373365.00;10429.33
20/02/2020;6.38;4.71;0.00;379325.00;10494.09
21/02/2020;7.50;4.96;80.00;384874.00;10700.73
22/02/2020;11.08;6.00;79.00;365036.00;10220.38
23/02/2020;6.88;4.04;16.00;384325.00;10735.76
24/02/2020;3.88;2.96;0.00;404080.00;11174.78
25/02/2020;8.88;3.13;13.00;409588.00;11277.47
26/02/2020;2.71;0.25;37.00;423705.00;11688.28
27/02/2020;1.92;1.00;258.00;402639.00;11596.52
28/02/2020;4.67;3.25;283.00;379753.00;10637.46
29/02/2020;5.50;4.46;86.00;361600.00;10088.83
01/03/2020;6.92;4.25;139.00;361753.00;10094.77
02/03/2020;2.79;3.50;153.00;375632.00;10365.84
03/03/2020;2.17;3.46;164.00;361162.00;9962.04
04/03/2020;2.58;2.33;312.00;380896.00;10561.62
05/03/2020;1.75;1.88;248.00;375409.00;10447.50
06/03/2020;4.83;2.08;56.00;394756.00;10866.92
07/03/2020;2.13;2.08;278.00;381646.00;10596.37
08/03/2020;6.75;6.38;0.00;357930.00;10596.37
09/03/2020;2.96;6.08;89.00;340577.00;9509.39
10/03/2020;5.79;5.67;0.00;353673.00;9706.23
11/03/2020;7.21;6.21;378.00;329446.00;9282.65
12/03/2020;9.75;5.17;175.00;350216.00;9761.62
13/03/2020;5.08;3.21;208.00;362476.00;10097.58
14/03/2020;3.17;1.46;571.00;363791.00;10320.11
15/03/2020;6.79;6.21;0.00;347244.00;9724.35
16/03/2020;4.04;6.29;107.00;327290.00;9266.86
17/03/2020;5.54;6.21;44.00;341911.00;9683.67
18/03/2020;5.92;7.04;1.00;329638.00;9364.86
19/03/2020;3.08;4.79;402.00;319909.00;9102.94
20/03/2020;3.17;3.71;565.00;313252.00;8910.49
21/03/2020;2.96;1.96;645.00;332727.00;9441.68
22/03/2020;3.17;1.75;490.00;346548.00;9787.38
23/03/2020;3.67;1.92;684.00;356994.00;10064.61
24/03/2020;4.08;3.25;587.00;340870.00;9601.17
25/03/2020;3.25;3.63;678.00;320851.00;9131.59
26/03/2020;2.21;3.42;641.00;303390.00;8741.08
27/03/2020;2.08;3.83;704.00;299067.00;8618.44
28/03/2020;4.08;4.50;552.00;282110.00;8202.18
29/03/2020;6.29;1.92;706.00;311702.00;8892.64
30/03/2020;3.88;3.63;533.00;307188.00;8791.29
31/03/2020;3.92;2.25;372.00;341632.00;9586.23
01/04/2020;7.13;5.42;71.00;318352.00;8943.35
02/04/2020;8.50;5.00;55.00;330770.00;9328.66
03/04/2020;5.96;3.13;367.00;339266.00;9667.31
04/04/2020;2.42;4.13;267.00;315481.00;9210.13
05/04/2020;4.00;8.04;719.00;264523.00;8257.13
06/04/2020;3.79;10.54;744.00;212739.00;6981.06
07/04/2020;2.96;8.54;745.00;195163.00;7031.84
08/04/2020;2.88;8.88;575.00;203986.00;7293.13
09/04/2020;4.71;6.33;634.00;210681.00;6889.97
10/04/2020;3.46;4.17;664.00;248532.00;7861.24
11/04/2020;1.88;5.38;47.00;274125.00;8810.98
12/04/2020;5.67;9.00;608.00;223302.00;7566.47
13/04/2020;6.67;3.83;600.00;269137.00;8706.24
